_id,user,startTime,totalCasual,totalSerious,totalNeutral,clicks,totalTime
67ed98ab21aa43b134fc2db3,user,2025-04-02T20:06:03.944Z,0,0,0,[],0
67ed996866b79c45062f1864,user,2025-04-02T20:09:12.836Z,0,0,0,[],0
67ed99be24fb33718095a144,user,2025-04-02T20:10:38.546Z,0,0,0,[],0
67ed9a0824fb33718095a145,user,2025-04-02T20:11:52.418Z,0,0,0,[],0
67ed9a405435a7ca8b035b41,user,2025-04-02T20:12:48.038Z,0,0,0,[],0
67ed9a854b969991ade34735,user,2025-04-02T20:13:57.833Z,0,0,0,[],0
67ed9b7d4b969991ade34737,user,2025-04-02T20:18:05.151Z,0,0,0,[],0
67ed9c9b4b969991ade34738,user,2025-04-02T20:22:51.043Z,0,0,0,[],0
67ed9cb94b969991ade34739,user,2025-04-02T20:23:21.492Z,0,0,0,[],0
67ed9d7a30ebf87daab2c83d,user,2025-04-02T20:26:34.368Z,6,49,15,"['select scenario', 'add example category', 'add example category', 'add example category', 'select recommendation', 'view similar', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by solution', 'filter by hint size', 'filter by hint size', 'filter by hint size', 'filter by hint size', 'filter by hint size', 'filter by hint size', 'filter by hint size', 'filter by hint size', 'filter by hint size', 'filter by hint size', 'filter by hint size', 'filter by hint size', 'filter by difficulty', 'filter by difficulty', 'filter by difficulty', 'filter by hint']",36956
67eeb95530ebf87daab2c83f,user,2025-04-03T16:37:41.420Z,0,0,0,[],0
67eeb98030ebf87daab2c840,user,2025-04-03T16:38:24.809Z,0,0,0,[],0
67eeb99f30ebf87daab2c841,user,2025-04-03T16:38:55.391Z,0,0,0,[],0
67eeb9c430ebf87daab2c842,user,2025-04-03T16:39:32.081Z,0,0,0,[],0
67eeba0330ebf87daab2c843,user,2025-04-03T16:40:35.529Z,0,0,0,[],0
67eeba2c30ebf87daab2c844,user,2025-04-03T16:41:16.171Z,0,0,0,[],0
67eebaad30ebf87daab2c845,user,2025-04-03T16:43:25.388Z,4,0,0,"['select scenario', 'add example category', 'add example category', 'add example category']",45956
67eebb5930ebf87daab2c846,user,2025-04-03T16:46:17.628Z,1,0,0,['select scenario'],3752
67eebb7930ebf87daab2c847,user,2025-04-03T16:46:49.217Z,1,0,0,['select scenario'],2238
67eebbb030ebf87daab2c848,user,2025-04-03T16:47:44.645Z,5,0,0,"['select scenario', 'select scenario', 'add example category', 'add example category', 'add example category']",14660
67eebbf330ebf87daab2c849,user,2025-04-03T16:48:51.617Z,4,0,0,"['select scenario', 'add example category', 'add example category', 'add example category']",8520
